2024-12-30 19:02:33 - Model: ComplexCNN_1230_UE
2024-12-30 19:02:33 - Learning rate: 0.001
2024-12-30 19:02:33 - Number of epochs: 128
2024-12-30 19:02:33 - Train batch size: 64
2024-12-30 19:02:33 - Test batch size: 64
2024-12-30 19:02:33 - Federated learning epochs: 100
2024-12-30 19:02:33 - Number of clients: 10
2024-12-30 19:02:37 - Before train, fl0Client4 gNB_test Accuracy  10.0 %
2024-12-30 19:02:37 - Before train, fl0Client4 client_test Accuracy  11.3 %
2024-12-30 19:07:15 - running Epoch:61, fl78Client1,avg_loss is 0.05925661522476592
2024-12-30 19:07:16 - running Epoch:62, fl78Client1,avg_loss is 0.05960682829653349
2024-12-30 19:07:18 - running Epoch:63, fl78Client1,avg_loss is 0.005136074146470998
2024-12-30 19:07:19 - running Epoch:64, fl78Client1,avg_loss is 0.01788358179512699
2024-12-30 19:07:20 - running Epoch:65, fl78Client1,avg_loss is 0.009041362996891
2024-12-30 19:07:22 - running Epoch:66, fl78Client1,avg_loss is 0.003968670103651813
2024-12-30 19:07:24 - running Epoch:67, fl78Client1,avg_loss is 0.0022197863138818676
2024-12-30 19:07:25 - running Epoch:68, fl78Client1,avg_loss is 0.005723892079752463
2024-12-30 19:07:27 - running Epoch:69, fl78Client1,avg_loss is 0.0038126021828719775
2024-12-30 19:07:28 - running Epoch:70, fl78Client1,avg_loss is 0.050685538698129265
2024-12-30 19:07:30 - running Epoch:71, fl78Client1,avg_loss is 0.06663181297952615
2024-12-30 19:07:31 - running Epoch:72, fl78Client1,avg_loss is 0.11300475447426868
2024-12-30 19:07:33 - running Epoch:73, fl78Client1,avg_loss is 0.11999207033622492
2024-12-30 19:07:34 - running Epoch:74, fl78Client1,avg_loss is 0.09852709692808552
2024-12-30 19:07:36 - running Epoch:75, fl78Client1,avg_loss is 0.0309893521318165
2024-12-30 19:07:37 - running Epoch:76, fl78Client1,avg_loss is 0.004596534733110862
2024-12-30 19:07:38 - running Epoch:77, fl78Client1,avg_loss is 0.0019543220189030142
2024-12-30 19:07:40 - running Epoch:78, fl78Client1,avg_loss is 0.01032337375142526
2024-12-30 19:07:41 - running Epoch:79, fl78Client1,avg_loss is 0.010637662618563222
2024-12-30 19:07:43 - running Epoch:80, fl78Client1,avg_loss is 0.008972499567524992
2024-12-30 19:07:44 - running Epoch:81, fl78Client1,avg_loss is 0.02244837921392025
2024-12-30 19:07:46 - running Epoch:82, fl78Client1,avg_loss is 0.044779197350836984
2024-12-30 19:07:47 - running Epoch:83, fl78Client1,avg_loss is 0.05065824310413173
2024-12-30 19:07:49 - running Epoch:84, fl78Client1,avg_loss is 0.04382735778042705
2024-12-30 19:07:50 - running Epoch:85, fl78Client1,avg_loss is 0.027126267450696587
2024-12-30 19:07:51 - running Epoch:86, fl78Client1,avg_loss is 0.021043003602336526
2024-12-30 19:07:53 - running Epoch:87, fl78Client1,avg_loss is 0.05156657254010957
2024-12-30 19:07:54 - running Epoch:88, fl78Client1,avg_loss is 0.036207934063538776
2024-12-30 19:07:56 - running Epoch:89, fl78Client1,avg_loss is 0.03672938287509399
2024-12-30 19:07:57 - running Epoch:90, fl78Client1,avg_loss is 0.06365487546014564
2024-12-30 19:07:59 - running Epoch:91, fl78Client1,avg_loss is 0.02619977806207777
2024-12-30 19:08:00 - running Epoch:92, fl78Client1,avg_loss is 0.17149931486530962
2024-12-30 19:08:02 - running Epoch:93, fl78Client1,avg_loss is 0.01379866302978613
2024-12-30 19:08:03 - running Epoch:94, fl78Client1,avg_loss is 0.11662903530788431
2024-12-30 19:08:05 - running Epoch:95, fl78Client1,avg_loss is 0.018010683923214085
2024-12-30 19:08:06 - running Epoch:96, fl78Client1,avg_loss is 0.018784079163530885
2024-12-30 19:08:08 - running Epoch:97, fl78Client1,avg_loss is 0.005563237203308676
2024-12-30 19:08:09 - running Epoch:98, fl78Client1,avg_loss is 0.009806397167129126
2024-12-30 19:08:11 - running Epoch:99, fl78Client1,avg_loss is 0.033573741617699486
2024-12-30 19:08:12 - running Epoch:100, fl78Client1,avg_loss is 0.019236600360261348
2024-12-30 19:08:13 - running Epoch:101, fl78Client1,avg_loss is 0.02366081375095999
2024-12-30 19:08:15 - running Epoch:102, fl78Client1,avg_loss is 0.01725700143214442
2024-12-30 19:08:16 - running Epoch:103, fl78Client1,avg_loss is 0.06468282082186064
2024-12-30 19:08:18 - running Epoch:104, fl78Client1,avg_loss is 0.019211729979890405
2024-12-30 19:08:19 - running Epoch:105, fl78Client1,avg_loss is 0.018389320500560483
2024-12-30 19:08:20 - running Epoch:106, fl78Client1,avg_loss is 0.01662659229282614
2024-12-30 19:08:22 - running Epoch:107, fl78Client1,avg_loss is 0.05839332582464418
2024-12-30 19:08:23 - running Epoch:108, fl78Client1,avg_loss is 0.04763946260319716
2024-12-30 19:08:25 - running Epoch:109, fl78Client1,avg_loss is 0.03387180251169573
2024-12-30 19:08:26 - running Epoch:110, fl78Client1,avg_loss is 0.039788168187096976
2024-12-30 19:08:28 - running Epoch:111, fl78Client1,avg_loss is 0.06510214735031765
2024-12-30 19:08:29 - running Epoch:112, fl78Client1,avg_loss is 0.008672381747129304
2024-12-30 19:08:31 - running Epoch:113, fl78Client1,avg_loss is 0.01530436677159189
2024-12-30 19:08:32 - running Epoch:114, fl78Client1,avg_loss is 0.002034338134089461
2024-12-30 19:08:33 - running Epoch:115, fl78Client1,avg_loss is 0.00029227196402292906
2024-12-30 19:08:35 - running Epoch:116, fl78Client1,avg_loss is 0.028134744993298214
2024-12-30 19:08:36 - running Epoch:117, fl78Client1,avg_loss is 0.020601225257232268
2024-12-30 19:08:38 - running Epoch:118, fl78Client1,avg_loss is 0.015215775731190614
2024-12-30 19:08:39 - running Epoch:119, fl78Client1,avg_loss is 0.006010229283432798
2024-12-30 19:08:40 - running Epoch:120, fl78Client1,avg_loss is 0.000550832182131205
2024-12-30 19:08:42 - running Epoch:121, fl78Client1,avg_loss is 0.0017468826189120947
2024-12-30 19:08:43 - running Epoch:122, fl78Client1,avg_loss is 0.040073091991848456
2024-12-30 19:08:45 - running Epoch:123, fl78Client1,avg_loss is 0.07863927273745826
2024-12-30 19:08:46 - running Epoch:124, fl78Client1,avg_loss is 0.03747228270431957
2024-12-30 19:08:48 - running Epoch:125, fl78Client1,avg_loss is 0.049806232728458986
2024-12-30 19:08:49 - running Epoch:126, fl78Client1,avg_loss is 0.0412729586777793
2024-12-30 19:08:50 - running Epoch:127, fl78Client1,avg_loss is 0.04123759258643848
2024-12-30 19:08:51 - After train, fl0Client1 gNB_test Accuracy  64.84 %
2024-12-30 19:08:52 - After train, fl0Client1 Test Accuracy  65.5 %
2024-12-30 19:08:53 - Before train, fl0Client7 gNB_test Accuracy  10.0 %
2024-12-30 19:08:54 - Before train, fl0Client7 client_test Accuracy  9.4 %
2024-12-30 19:08:55 - running Epoch:0, fl78Client7,avg_loss is 1.8812474902672103
2024-12-30 19:08:57 - running Epoch:1, fl78Client7,avg_loss is 1.5624289950238
2024-12-30 19:08:58 - running Epoch:2, fl78Client7,avg_loss is 1.4388666771635223
2024-12-30 19:09:00 - running Epoch:3, fl78Client7,avg_loss is 1.2360544883752171
2024-12-30 19:09:01 - running Epoch:4, fl78Client7,avg_loss is 1.1815176153484779
2024-12-30 19:09:02 - running Epoch:5, fl78Client7,avg_loss is 1.0634509845624995
2024-12-30 19:09:04 - running Epoch:6, fl78Client7,avg_loss is 1.0027380019803591
2024-12-30 19:09:05 - running Epoch:7, fl78Client7,avg_loss is 0.8359784302832205
2024-12-30 19:09:07 - running Epoch:8, fl78Client7,avg_loss is 0.7270149897925461
2024-12-30 19:09:08 - running Epoch:9, fl78Client7,avg_loss is 0.634463069182408
2024-12-30 19:09:09 - running Epoch:10, fl78Client7,avg_loss is 0.5175800017918213
2024-12-30 19:09:11 - running Epoch:11, fl78Client7,avg_loss is 0.47097658073600335
2024-12-30 19:09:12 - running Epoch:12, fl78Client7,avg_loss is 0.4311292092256908
2024-12-30 19:09:14 - running Epoch:13, fl78Client7,avg_loss is 0.3756402693217314
2024-12-30 19:09:15 - running Epoch:14, fl78Client7,avg_loss is 0.2416032038723366
