2024-12-30 12:31:08 - Model: SimpleCNN_1230_UE
2024-12-30 12:31:08 - Learning rate: 0.001
2024-12-30 12:31:08 - Number of epochs: 64
2024-12-30 12:31:08 - Train batch size: 64
2024-12-30 12:31:08 - Test batch size: 64
2024-12-30 12:31:08 - Federated learning epochs: 100
2024-12-30 12:31:08 - Number of clients: 10
2024-12-30 12:31:13 - Before train, fl0Client4 gNB_test Accuracy  12.34 %
2024-12-30 12:31:13 - Before train, fl0Client4 client_test Accuracy  13.4 %
2024-12-30 12:34:54 - running Epoch:0, round:78,avg_loss is 1.250909842267821
2024-12-30 12:34:55 - running Epoch:1, round:78,avg_loss is 0.9062647811974152
2024-12-30 12:34:56 - running Epoch:2, round:78,avg_loss is 0.6657044510298138
2024-12-30 12:34:57 - running Epoch:3, round:78,avg_loss is 0.455221924034855
2024-12-30 12:34:58 - running Epoch:4, round:78,avg_loss is 0.24276255948256842
2024-12-30 12:34:59 - running Epoch:5, round:78,avg_loss is 0.11725665916559062
2024-12-30 12:35:00 - running Epoch:6, round:78,avg_loss is 0.053912726502063905
2024-12-30 12:35:01 - running Epoch:7, round:78,avg_loss is 0.024164521553895518
2024-12-30 12:35:03 - running Epoch:8, round:78,avg_loss is 0.009760717348537491
2024-12-30 12:35:04 - running Epoch:9, round:78,avg_loss is 0.0059811991707221426
2024-12-30 12:35:05 - running Epoch:10, round:78,avg_loss is 0.0014594638155761494
2024-12-30 12:35:06 - running Epoch:11, round:78,avg_loss is 0.0009523112204550659
2024-12-30 12:35:07 - running Epoch:12, round:78,avg_loss is 0.0007355283069736736
2024-12-30 12:35:08 - running Epoch:13, round:78,avg_loss is 0.0006245140043747481
2024-12-30 12:35:09 - running Epoch:14, round:78,avg_loss is 0.0005109994860124314
2024-12-30 12:35:11 - running Epoch:15, round:78,avg_loss is 0.0004357701333982375
2024-12-30 12:35:12 - running Epoch:16, round:78,avg_loss is 0.0003822681324960239
2024-12-30 12:35:13 - running Epoch:17, round:78,avg_loss is 0.0003341298126335598
2024-12-30 12:35:14 - running Epoch:18, round:78,avg_loss is 0.00029387350044584584
2024-12-30 12:35:15 - running Epoch:19, round:78,avg_loss is 0.00026204159711354965
2024-12-30 12:35:16 - running Epoch:20, round:78,avg_loss is 0.0002352417079375208
2024-12-30 12:35:18 - running Epoch:21, round:78,avg_loss is 0.00021303558559672718
2024-12-30 12:35:19 - running Epoch:22, round:78,avg_loss is 0.00019157747001257502
2024-12-30 12:35:20 - running Epoch:23, round:78,avg_loss is 0.00017608724618507432
2024-12-30 12:35:21 - running Epoch:24, round:78,avg_loss is 0.00015753024413127985
2024-12-30 12:35:22 - running Epoch:25, round:78,avg_loss is 0.0001478931782590343
